Filename;Title;Author
27531-0;A Manual of Moral Philosophy;Andrew Preston Peabody
DarwinOriginofSpecies;On the Origin of Species;Charles Darwin
DickensAChristmasCarol;A Christmas Carol;Charles Dickens
DickensGreatExpectations;Great Expectations;Charles Dickens
DickensThePickwickPapers;The Pickwick Papers;Charles Dickens
KiplingJungleBook;The Jungle Book;Rudyard Kipling
LondonCallofTheWild;The Call of the Wild;Jack London
pg1410;The Commission in Lunacy;Honore de Balzac
pg2482;New York;James Fenimore Cooper
pg4064;Moonbeams From the Larger Lunacy;Stephen Leacock
pg4228;Giordano Bruno;Walter Horatio Pater
pg4358;The Sea Fairies;L. Frank Baum
pg4361;The Memoirs of General W. T. Sherman;William T. Sherman
pg6087;The Vampyre;John William Polidori
pg13314;Barford Abbey;Susannah Minific Gunning
pg14458;A History of Trade Unionism in the United States;Selig Perlman
pg17326;History Of Egypt, Chaldæa, Syria, Babylonia \& Assyria (VI);G. Maspero
pg20826;Traditions of the North American Indians, Vol. 1 (of 3);James Athearn Jones
pg20939;The Song of the Exile, A Canadian Epic;Wilfred S. Skeats
pg22082;The Emancipation Proclamation;Abraham Lincoln
pg22566;Dorothy and the Wizard in Oz;L. Frank Baum
pg30896;When Ghost Meets Ghost;William Frend De Morgan
pg31151;The English Novel in the Time of Shakespeare;J. J. Jusserand
pg31796;Inductive and Deductive;William Minto
pg34381;Great Musical Composers;George T. Ferris
pg37766;Strange Stories from the Lodge of Leisures;Unknown
pg38498;The Code of the Mountains;Charles Neville Buck
pg43550;The Bible Of Bibles;Kersey Graves and Lydia M. Graves
PoeWorksVol1;The Works of Edgar Allan Poe (Vol. 1);Edgar Allan Poe
PoeWorksVol2;The Works of Edgar Allan Poe (Vol. 2);Edgar Allan Poe
RiceBurroughsAprincessofMars;A Princess of Mars;Edgar Rice Burroughs
WellsTimeMachine;The Time Machine;H. G. Wells
WellsWarofTheWorlds;The War of the Worlds;H. G. Wells
