novel,split,unique,words
pg1410,06,820,2279
pg1410,71,4292,23078
pg1410,14,1601,4798
pg1410,66,4102,21511
pg1410,10,1232,3546
pg1410,18,1915,6053
pg1410,39,3050,12769
pg1410,36,2889,11807
pg1410,35,2847,11494
pg1410,01,305,631
pg1410,16,1763,5422
pg1410,34,2810,11160
pg1410,08,1022,2924
pg1410,76,4455,24698
pg1410,64,4014,20860
pg1410,13,1519,4477
pg1410,28,2542,9254
pg1410,09,1136,3234
pg1410,02,424,962
pg1410,42,3203,13722
pg1410,12,1444,4169
pg1410,32,2720,10522
pg1410,25,2380,8297
pg1410,07,905,2599
pg1410,20,2028,6696
pg1410,43,3268,14055
pg1410,41,3161,13404
pg1410,30,2628,9886
pg1410,27,2480,8932
pg1410,23,2217,7679
pg1410,11,1339,3866
pg1410,03,539,1292
pg1410,04,642,1625
pg1410,05,744,1953
pg1410,50,3522,16317
pg1410,33,2772,10841
pg1410,38,3000,12455
pg1410,72,4315,23415
pg1410,17,1838,5725
pg1410,57,3734,18561
pg1410,61,3893,19886
pg1410,15,1678,5113
pg1410,00,164,296
pg1410,31,2672,10217
pg1410,21,2114,7016
pg1410,22,2176,7341
pg1410,19,1976,6380
pg1410,48,3461,15685
pg1410,45,3358,14709
pg1410,24,2296,7978
pg1410,59,3809,19255
pg1410,77,4492,25028
pg1410,80,4572,25991
pg1410,44,3320,14396
pg1410,65,4059,21186
pg1410,58,3777,18907
pg1410,40,3103,13085
pg1410,47,3435,15360
pg1410,84,4698,27272
pg1410,74,4369,24058
pg1410,37,2953,12149
pg1410,53,3613,17257
pg1410,54,3645,17601
pg1410,46,3400,15032
pg1410,67,4146,21811
pg1410,68,4187,22134
pg1410,26,2421,8614
pg1410,88,4807,28518
pg1410,97,5050,31084
pg1410,56,3697,18232
pg1410,63,3959,20535
pg1410,78,4521,25350
pg1410,70,4269,22763
pg1410,29,2600,9568
pg1410,79,4545,25671
pg1410,51,3554,16624
pg1410,62,3930,20216
pg1410,94,4960,30238
pg1410,73,4337,23728
pg1410,75,4413,24374
pg1410,98,5094,31349
pg1410,87,4768,28270
pg1410,90,4875,29047
pg1410,55,3675,17902
pg1410,83,4677,26959
pg1410,95,4994,30516
pg1410,91,4893,29354
pg1410,69,4233,22442
pg1410,60,3849,19587
pg1410,81,4620,26302
pg1410,49,3487,15991
pg1410,85,4723,27608
pg1410,89,4841,28754
pg1410,82,4655,26618
pg1410,99,5122,31638
pg1410,52,3583,16936
pg1410,92,4914,29654
pg1410,86,4743,27936
pg1410,96,5022,30813
pg1410,93,4939,29949
DickensAChristmasCarol,41,2709,13767
DickensAChristmasCarol,35,2476,11720
DickensAChristmasCarol,25,1971,8324
DickensAChristmasCarol,22,1806,7305
DickensAChristmasCarol,08,891,2610
DickensAChristmasCarol,09,954,2919
DickensAChristmasCarol,19,1645,6320
DickensAChristmasCarol,01,250,486
DickensAChristmasCarol,06,754,1940
DickensAChristmasCarol,20,1706,6641
DickensAChristmasCarol,07,828,2287
DickensAChristmasCarol,05,661,1598
DickensAChristmasCarol,57,3446,19133
DickensAChristmasCarol,66,3772,22219
DickensAChristmasCarol,92,4415,31121
DickensAChristmasCarol,11,1141,3577
DickensAChristmasCarol,33,2379,11021
DickensAChristmasCarol,31,2284,10354
DickensAChristmasCarol,70,3883,23573
DickensAChristmasCarol,10,1036,3251
DickensAChristmasCarol,14,1325,4635
DickensAChristmasCarol,24,1906,7971
DickensAChristmasCarol,38,2580,12754
DickensAChristmasCarol,23,1857,7639
DickensAChristmasCarol,13,1256,4285
DickensAChristmasCarol,77,4113,26047
DickensAChristmasCarol,39,2626,13101
DickensAChristmasCarol,47,3066,15736
DickensAChristmasCarol,29,2200,9682
DickensAChristmasCarol,17,1522,5632
DickensAChristmasCarol,46,2987,15403
DickensAChristmasCarol,04,537,1251
DickensAChristmasCarol,75,4067,25349
DickensAChristmasCarol,12,1200,3930
DickensAChristmasCarol,30,2249,10011
DickensAChristmasCarol,02,330,677
DickensAChristmasCarol,68,3820,22915
DickensAChristmasCarol,40,2683,13439
DickensAChristmasCarol,15,1401,4958
DickensAChristmasCarol,69,3841,23237
DickensAChristmasCarol,18,1581,5973
DickensAChristmasCarol,36,2507,12048
DickensAChristmasCarol,00,158,255
DickensAChristmasCarol,32,2332,10683
DickensAChristmasCarol,34,2431,11362
DickensAChristmasCarol,03,410,920
DickensAChristmasCarol,28,2126,9322
DickensAChristmasCarol,42,2750,14094
