freq_1;term_1;freq_2;term_2;freq_3;term_3;freq_4;term_4;freq_5;term_5;freq_6;term_6;freq_7;term_7;freq_8;term_8;freq_9;term_9;freq_10;term_10;unique;total;source;filters
96913;the;54072;to;47575;a;46298;of;41946;and;34079;I;32119;is;28878;in;25916;that;21106;for;105130;2364598;20_newsgroups;
111092;the;56488;to;52101;a;48112;of;45253;and;38136;in;36323;i;34366;is;27112;that;24372;it;90785;2456721;20_newsgroups;lowercase
127111;the;71537;to;62514;of;60672;a;55041;and;45188;I;42658;is;38385;in;35849;that;27598;for;122799;3070434;20_newsgroups;asciifolding
140843;the;72029;to;63922;a;62645;of;56944;and;47982;in;46188;i;44244;is;36562;that;30833;it;101635;3046934;20_newsgroups;lowercase-asciifolding
47663;I;24394;you;19844;have;15834;The;11430;from;10774;In;10155;can;9700;would;9336;my;9105;writes;126325;2430953;20_newsgroups;stop
48561;i;27543;you;20010;have;12170;from;11155;my;11044;can;9896;would;9823;all;9714;what;9593;one;104519;2337693;20_newsgroups;lowercase-stop
45517;I;22856;you;18653;have;14845;The;10810;from;10064;In;9778;can;8971;would;8956;1;8870;my;123300;2300441;20_newsgroups;asciifolding-stop
46969;i;26144;you;19093;have;11671;from;10743;can;10737;my;9358;all;9321;would;9266;what;9190;one;102726;2243168;20_newsgroups;lowercase-asciifolding-stop
99987;the;56318;to;49514;a;48095;of;44112;and;35973;I;33302;is;30194;in;26636;that;23001;for;92040;2494031;20_newsgroups;porter_stem
142320;the;72762;to;64464;a;63402;of;57404;and;48586;in;46404;i;44564;is;37046;that;33399;it;83712;3072784;20_newsgroups;lowercase-porter_stem
122927;the;69355;to;60736;of;58661;a;53407;and;43872;I;41568;is;37310;in;34824;that;27319;on;99974;2979360;20_newsgroups;asciifolding-porter_stem
146180;the;74617;to;66019;a;65020;of;58835;and;49879;in;47318;i;45392;is;38158;that;34124;it;84461;3145510;20_newsgroups;lowercase-asciifolding-porter_stem
44529;I;22224;you;19140;have;14494;The;11776;us;10546;from;9830;In;9586;can;9270;write;8850;1;100903;2247175;20_newsgroups;stop-porter_stem
46853;i;26046;you;20081;have;13173;us;11611;from;10874;do;10752;can;10710;my;9678;on;9614;write;84023;2233482;20_newsgroups;lowercase-stop-porter_stem
44000;I;21854;you;18817;have;14222;The;11622;us;10419;from;9674;In;9478;can;9137;write;8803;1;100023;2214682;20_newsgroups;asciifolding-stop-porter_stem
45932;i;25388;you;19584;have;12919;us;11364;from;10627;do;10563;can;10499;my;9492;on;9374;write;83134;2185650;20_newsgroups;lowercase-asciifolding-stop-porter_stem
122619;the;69189;to;60619;of;58473;a;53274;and;43659;I;41477;is;37227;in;34763;that;26681;for;107746;2971654;20_newsgroups;kstem
143238;the;73193;to;64882;a;63774;of;57711;and;48791;in;46664;i;44794;is;37319;that;31257;it;87803;3090072;20_newsgroups;lowercase-kstem
126240;the;71026;to;62101;of;60300;a;54646;and;44981;I;42456;is;38146;in;35669;that;27429;for;109651;3050814;20_newsgroups;asciifolding-kstem
137056;the;70313;to;62109;a;61273;of;55593;and;46934;in;44810;i;43260;is;35765;that;30077;it;85788;2971006;20_newsgroups;lowercase-asciifolding-kstem
45652;I;22910;you;19693;have;14888;The;12264;do;10836;from;10099;In;9814;can;9787;use;9165;write;110558;2306296;20_newsgroups;stop-kstem
46191;i;25519;you;19684;have;14029;do;11438;from;10601;can;10556;my;10035;use;9522;one;9111;all;87243;2197073;20_newsgroups;lowercase-stop-kstem
44271;I;21937;you;18924;have;14292;The;11817;do;10469;from;9701;In;9508;can;9468;use;8824;1;108143;2223796;20_newsgroups;asciifolding-stop-kstem
44728;i;24737;you;19041;have;13591;do;11093;from;10290;can;10217;my;9735;use;9259;one;8824;all;85649;2134581;20_newsgroups;lowercase-asciifolding-stop-kstem
