freq_1;term_1;freq_2;term_2;freq_3;term_3;freq_4;term_4;freq_5;term_5;freq_6;term_6;freq_7;term_7;freq_8;term_8;freq_9;term_9;freq_10;term_10;unique;total;source;filters
971180;the;613224;of;416330;and;333884;a;327944;to;267276;in;191055;is;166741;for;155348;that;141146;with;143244;15870363;arxiv_abs;
941663;the;543627;of;370097;and;314826;a;302520;to;281263;in;188575;we;170183;is;161344;for;140180;that;116014;14151581;arxiv_abs;lowercase
914701;the;576042;of;392175;and;314404;a;308807;to;251312;in;179877;is;157143;for;146955;that;133308;with;139963;14963169;arxiv_abs;asciifolding
959931;the;554176;of;377077;and;320401;a;308163;to;286737;in;190983;we;173417;is;164367;for;142525;that;117107;14411363;arxiv_abs;lowercase-asciifolding
97505;we;91320;We;78896;The;63246;from;55967;which;47414;can;44659;In;40361;model;39464;data;38259;1;136232;10161645;arxiv_abs;stop
189391;we;64983;from;56248;which;47732;can;47652;our;41760;model;40434;data;38384;1;31591;2;31044;time;116356;9964922;arxiv_abs;lowercase-stop
95634;we;89652;We;76009;The;61751;from;54401;which;46273;can;43492;In;39155;model;38792;data;37697;1;134281;9889881;arxiv_abs;asciifolding-stop
186392;we;63617;from;54876;which;46943;our;46733;can;40634;model;39803;data;37855;1;31163;2;30213;time;114949;9734715;arxiv_abs;lowercase-asciifolding-stop
801824;the;504329;of;345648;and;277075;a;273054;to;220520;in;156810;is;138043;for;130737;that;118358;with;105142;13206673;arxiv_abs;porter_stem
870099;the;501910;of;344425;and;290499;a;281964;to;260648;in;176697;we;156438;is;148872;for;130302;that;88515;13138166;arxiv_abs;lowercase-porter_stem
815147;the;513098;of;350744;and;282177;a;277005;to;223944;in;159918;is;140724;for;132935;that;120038;with;105707;13423953;arxiv_abs;asciifolding-porter_stem
871003;the;502469;of;344730;and;290873;a;282270;to;260976;in;176921;we;156649;is;149024;for;130443;that;88556;13151639;arxiv_abs;lowercase-asciifolding-porter_stem
89791;we;85404;We;72032;The;66126;model;59348;from;57988;us;51097;which;43953;can;40745;In;37508;data;104613;9351566;arxiv_abs;stop-porter_stem
172742;we;67111;model;61454;us;60190;from;50349;which;44071;our;43471;can;38026;data;36193;result;36041;time;87880;9013394;arxiv_abs;lowercase-stop-porter_stem
85885;we;82515;We;69855;The;64308;model;57961;from;56354;us;49038;which;42344;can;38977;In;36717;data;103377;9018101;arxiv_abs;asciifolding-stop-porter_stem
175245;we;67772;model;62089;us;60719;from;51139;which;44613;our;44107;can;38333;data;36839;result;36539;time;88255;9135098;arxiv_abs;lowercase-asciifolding-stop-porter_stem
840492;the;529349;of;360526;and;291007;a;284750;to;230620;in;165487;is;145115;for;136914;that;123402;with;117809;13817315;arxiv_abs;kstem
895395;the;517338;of;353482;and;300338;a;289294;to;268207;in;182228;we;161575;is;153996;for;134348;that;93695;13521239;arxiv_abs;lowercase-kstem
833827;the;525062;of;357866;and;288873;a;282683;to;228772;in;164081;is;144055;for;135964;that;122531;with;117253;13715101;arxiv_abs;asciifolding-kstem
789986;the;452017;of;316076;and;258508;a;258135;to;235926;in;159024;we;137170;is;132695;for;116871;that;89164;11911047;arxiv_abs;lowercase-asciifolding-kstem
100548;we;93966;We;83337;The;74339;model;66044;from;58775;use;58278;which;49501;can;46529;In;40908;data;122054;10604432;arxiv_abs;stop-kstem
188770;we;72729;model;64707;from;60021;use;55985;which;47555;can;47504;our;40296;data;40293;result;38265;1;96092;9919769;arxiv_abs;lowercase-stop-kstem
103116;we;96353;We;87327;The;77490;model;68352;from;61416;use;60192;which;51238;can;48072;In;42228;data;124164;10988248;arxiv_abs;asciifolding-stop-kstem
188086;we;72335;model;64405;from;59678;use;55648;which;47347;our;47302;can;40184;data;40086;result;38138;1;95884;9868842;arxiv_abs;lowercase-asciifolding-stop-kstem
813562;the;511987;of;350156;and;281530;a;276526;to;223534;in;159574;is;140484;for;132721;that;119820;with;105233;13397590;arxiv_abs;porter_stem-kstem
900668;the;520454;of;355389;and;302334;a;290825;to;269756;in;183152;we;163230;is;155070;for;135083;that;88937;13597859;arxiv_abs;lowercase-porter_stem-kstem
849187;the;534648;of;363988;and;293681;a;287340;to;232984;in;167204;is;146521;for;137980;that;124463;with;107456;13943177;arxiv_abs;asciifolding-porter_stem-kstem
870365;the;501985;of;344449;and;290555;a;282043;to;260738;in;176749;we;156462;is;148948;for;130300;that;87818;13140047;arxiv_abs;lowercase-asciifolding-porter_stem-kstem
91849;we;86941;We;73236;The;67092;model;60031;from;58888;us;52199;which;44723;can;41716;In;37883;data;104889;9531662;arxiv_abs;stop-porter_stem-kstem
179325;we;68858;model;63184;us;61501;from;52406;which;45506;our;44957;can;38777;data;37841;result;37417;time;88224;9334383;arxiv_abs;lowercase-stop-porter_stem-kstem
98456;we;92150;We;80234;The;71950;model;64101;from;63626;us;56749;which;48056;can;45241;In;40037;time;109142;10301650;arxiv_abs;asciifolding-stop-porter_stem-kstem
187456;we;71978;model;66283;us;64093;from;55362;which;47294;our;47087;can;40070;result;40024;data;39509;time;90493;9818731;arxiv_abs;lowercase-asciifolding-stop-porter_stem-kstem
892471;the;562172;of;382481;and;307497;a;301503;to;245036;in;175633;is;153578;for;143942;that;130376;with;109656;14618276;arxiv_abs;snowball
967114;the;558341;of;380071;and;322560;a;310437;to;288920;in;191928;we;174619;is;165505;for;143385;that;91551;14515624;arxiv_abs;lowercase-snowball
876716;the;552010;of;375521;and;302483;a;296280;to;240496;in;172663;is;150988;for;141825;that;128158;with;108665;14368516;arxiv_abs;asciifolding-snowball
1012664;the;584132;of;398115;and;335919;a;324485;to;302236;in;197790;we;182384;is;172646;for;148853;that;93523;15153570;arxiv_abs;lowercase-asciifolding-snowball
102097;we;95432;We;85692;The;76541;model;67438;from;62618;use;59378;which;50544;can;47456;In;42209;time;111440;10834034;arxiv_abs;stop-snowball
198533;we;79032;model;69460;from;67642;use;59867;which;51061;can;49844;our;43383;result;43124;time;42864;data;93746;10656913;arxiv_abs;lowercase-stop-snowball
103111;we;96361;We;87304;The;77768;model;68372;from;63736;use;60188;which;51232;can;48069;In;42796;time;112195;10987662;arxiv_abs;asciifolding-stop-snowball
196236;we;77488;model;68359;from;66210;use;58923;which;50243;can;49328;our;42662;result;42369;time;42214;data;92999;10478302;arxiv_abs;lowercase-asciifolding-stop-snowball
908050;the;571763;of;389260;and;312203;a;306495;to;249405;in;178593;is;156064;for;146069;that;139421;on;107703;14857618;arxiv_abs;porter_stem-snowball
982991;the;567228;of;386345;and;327187;a;315278;to;293581;in;193984;we;177851;is;168006;for;145322;that;90094;14736949;arxiv_abs;lowercase-porter_stem-snowball
904009;the;569235;of;387531;and;310977;a;305274;to;248310;in;177838;is;155417;for;145498;that;138876;on;107479;14796126;arxiv_abs;asciifolding-porter_stem-snowball
955819;the;551679;of;375458;and;319000;a;306876;to;285486;in;190435;we;173227;is;163629;for;142017;that;88846;14350651;arxiv_abs;lowercase-asciifolding-porter_stem-snowball
101940;we;95305;We;85515;The;76350;model;67323;from;67319;us;59283;which;50456;can;47369;In;42147;time;108491;10815710;arxiv_abs;stop-porter_stem-snowball
192253;we;75046;model;69069;us;66338;from;57424;which;48820;can;48442;our;41460;result;41175;data;41151;time;89503;10180129;arxiv_abs;lowercase-stop-porter_stem-snowball
102169;we;95500;We;85846;The;76637;model;67572;us;67525;from;59459;which;50620;can;47498;In;42292;time;108631;10849915;arxiv_abs;asciifolding-stop-porter_stem-snowball
195216;we;76849;model;70742;us;67864;from;58561;which;49831;can;49130;our;42376;result;42110;time;41940;data;90410;10401722;arxiv_abs;lowercase-asciifolding-stop-porter_stem-snowball
861963;the;542559;of;369180;and;297694;a;291268;to;236364;in;169762;is;148501;for;139707;that;126160;with;106997;14135293;arxiv_abs;kstem-snowball
968125;the;558849;of;380395;and;322855;a;310694;to;289208;in;192027;we;174811;is;165638;for;143479;that;89406;14528149;arxiv_abs;lowercase-kstem-snowball
891449;the;561480;of;382020;and;307192;a;301081;to;244722;in;175444;is;153378;for;143783;that;130240;with;108886;14601287;arxiv_abs;asciifolding-kstem-snowball
996987;the;575087;of;391806;and;331251;a;319582;to;297733;in;195764;we;179685;is;170140;for;147029;that;90594;14932184;arxiv_abs;lowercase-asciifolding-kstem-snowball
98679;we;92335;We;80543;The;72489;model;64290;from;59418;use;56905;which;48195;can;45375;In;40192;time;108136;10333188;arxiv_abs;stop-kstem-snowball
192341;we;75124;model;66415;from;64371;use;57483;which;48850;can;48451;our;41516;result;41197;time;41197;data;89457;10188272;arxiv_abs;lowercase-stop-kstem-snowball
101432;we;94846;We;84651;The;75738;model;66865;from;62095;use;58921;which;50128;can;47057;In;41843;time;110287;10736754;arxiv_abs;asciifolding-stop-kstem-snowball
188345;we;72784;model;64526;from;62177;use;55782;which;47512;our;47414;can;40353;result;40228;data;39841;time;88028;9888941;arxiv_abs;lowercase-asciifolding-stop-kstem-snowball
841858;the;530142;of;361046;and;291491;a;285139;to;230939;in;165736;is;145401;for;137093;that;130452;on;103403;13836352;arxiv_abs;porter_stem-kstem-snowball
1073736;the;620895;of;420993;and;357188;a;343757;to;320960;in;208717;we;194141;is;182966;for;157658;that;92334;16048418;arxiv_abs;lowercase-porter_stem-kstem-snowball
915853;the;576738;of;392755;and;314698;a;309136;to;251614;in;180049;is;157407;for;147116;that;140525;on;107764;14981293;arxiv_abs;asciifolding-porter_stem-kstem-snowball
1023298;the;590176;of;402335;and;339146;a;327762;to;305378;in;199208;we;184693;is;174464;for;150124;that;91079;15304627;arxiv_abs;lowercase-asciifolding-porter_stem-kstem-snowball
96110;we;90031;We;76683;The;69838;model;62049;from;61240;us;54755;which;46510;can;43766;In;38935;data;103615;9952196;arxiv_abs;stop-porter_stem-kstem-snowball
