freq_10;term_10;freq_9;term_9;freq_8;term_8;freq_7;term_7;freq_6;term_6;freq_5;term_5;freq_4;term_4;freq_3;term_3;freq_2;term_2;freq_1;term_1;unique;source;filters
34192;for;46933;that;50604;in;53197;is;54643;I;72136;and;75939;a;83920;of;93914;to;169302;the;138195;20_newsgroups;
49300;it;66181;that;69327;i;70983;is;83608;in;96940;and;101746;a;111941;of;123576;to;245767;the;126105;20_newsgroups;lowercase
34019;for;46625;that;50264;in;52945;is;54512;I;71653;and;75669;a;83272;of;93361;to;168099;the;137991;20_newsgroups;asciifolding
52435;it;69264;that;74437;i;75138;is;86763;in;101517;and;107283;a;116217;of;129433;to;257180;the;130262;20_newsgroups;lowercase-asciifolding
14334;about;15141;writes;15348;can;15740;would;18023;In;18232;from;25836;The;32114;have;39449;you;72798;I;156809;20_newsgroups;stop
15664;one;16278;would;16542;all;16721;my;16748;can;16826;what;19676;from;32620;have;44980;you;74456;i;130249;20_newsgroups;lowercase-stop
14334;about;15141;writes;15348;can;15740;would;18023;In;18232;from;25836;The;32114;have;39449;you;72798;I;156798;20_newsgroups;asciifolding-stop
15607;one;16243;would;16503;all;16642;my;16698;can;16789;what;19632;from;32487;have;44889;you;74118;i;130056;20_newsgroups;lowercase-asciifolding-stop
41862;on;58070;that;61362;in;61603;is;62446;I;85997;and;88412;a;102248;of;112696;to;205232;the;121864;20_newsgroups;porter_stem
48228;it;58317;that;62460;i;62473;is;74779;in;88211;and;91407;a;100938;of;111490;to;222741;the;98116;20_newsgroups;lowercase-porter_stem
41862;on;58070;that;61362;in;61603;is;62446;I;85997;and;88412;a;102248;of;112696;to;205232;the;121851;20_newsgroups;asciifolding-porter_stem
46873;it;56084;that;60932;is;61039;i;72660;in;85768;and;89187;a;97788;of;108019;to;215907;the;97481;20_newsgroups;lowercase-asciifolding-porter_stem
13031;can;13413;would;13840;write;15183;In;16029;from;16627;us;22579;The;28266;have;33243;you;60973;I;119355;20_newsgroups;stop-porter_stem
13874;what;13925;all;14059;my;14072;can;15082;do;17063;from;18317;us;28406;have;37312;you;61736;i;97822;20_newsgroups;lowercase-stop-porter_stem
12944;can;13236;would;13697;write;15027;In;15890;from;16545;us;22386;The;27928;have;32839;you;60402;I;119113;20_newsgroups;asciifolding-stop-porter_stem
13380;on;13485;all;13759;my;13808;can;14682;do;16618;from;17941;us;27457;have;36152;you;60373;i;97213;20_newsgroups;lowercase-asciifolding-stop-porter_stem
39772;for;58070;that;61216;in;61603;is;62446;I;85997;and;88412;a;102234;of;112695;to;205267;the;131539;20_newsgroups;kstem
44360;it;58317;that;62459;i;62467;is;74717;in;88214;and;91406;a;100924;of;111471;to;222807;the;102456;20_newsgroups;lowercase-kstem
40329;for;58928;that;62288;in;62500;is;63511;I;87077;and;89824;a;103389;of;114329;to;208313;the;132688;20_newsgroups;asciifolding-kstem
44360;it;58317;that;62459;i;62467;is;74717;in;88214;and;91406;a;100924;of;111471;to;222807;the;102445;20_newsgroups;lowercase-asciifolding-kstem
13295;can;13829;would;13864;write;15731;In;16343;from;17617;do;23112;The;29168;have;34075;you;62446;I;131516;20_newsgroups;stop-kstem
13546;one;13611;what;13670;all;13905;my;13914;can;16808;from;19444;do;27910;have;36689;you;61038;i;101793;20_newsgroups;lowercase-stop-kstem
15371;can;15741;would;16124;write;18023;In;18232;from;20675;do;25836;The;33742;have;39449;you;72798;I;140559;20_newsgroups;asciifolding-stop-kstem
16013;my;16122;one;16148;all;16258;can;16507;what;19258;from;23278;do;33347;have;44062;you;71620;i;109577;20_newsgroups;lowercase-asciifolding-stop-kstem
40973;on;56853;that;59759;in;60330;is;61240;I;84244;and;86283;a;100375;of;110455;to;200679;the;118823;20_newsgroups;porter_stem-kstem
48228;it;58317;that;62460;i;62473;is;74779;in;88219;and;91407;a;100938;of;111490;to;222805;the;97089;20_newsgroups;lowercase-porter_stem-kstem
42187;on;58496;that;61960;in;62097;is;62998;I;86574;and;89195;a;102816;of;113582;to;206856;the;121738;20_newsgroups;asciifolding-porter_stem-kstem
56795;it;69397;that;74477;i;75170;is;87021;in;101543;and;107311;a;116249;of;129494;to;257311;the;106057;20_newsgroups;lowercase-asciifolding-porter_stem-kstem
13122;can;13571;would;13996;write;15386;In;16193;from;16728;us;22792;The;28634;have;33620;you;61502;I;119123;20_newsgroups;stop-porter_stem-kstem
14305;what;14356;my;14374;can;14402;all;15484;do;17510;from;18618;us;29420;have;38551;you;63396;i;98130;20_newsgroups;lowercase-stop-porter_stem-kstem
13268;can;13772;would;14264;write;15658;In;16311;from;16816;us;23049;The;29037;have;33968;you;62229;I;120524;20_newsgroups;asciifolding-stop-porter_stem-kstem
16727;my;16785;can;16816;write;16869;what;18226;do;19677;from;20961;us;34426;have;44982;you;74477;i;106054;20_newsgroups;lowercase-asciifolding-stop-porter_stem-kstem
51454;it;67984;in;68041;that;71133;I;71272;is;95040;and;99258;a;113897;of;125834;to;227895;the;125675;20_newsgroups;snowball
63523;it;72055;that;74483;i;75164;is;86828;in;101532;and;107363;a;116250;of;129476;to;257240;the;104314;20_newsgroups;lowercase-snowball
51410;it;67941;in;68000;that;71055;I;71238;is;94975;and;99182;a;113843;of;125747;to;227730;the;125571;20_newsgroups;asciifolding-snowball
