freq_1;term_1;freq_2;term_2;freq_3;term_3;freq_4;term_4;freq_5;term_5;freq_6;term_6;freq_7;term_7;freq_8;term_8;freq_9;term_9;freq_10;term_10;unique;total;source;filters
163307;the;99922;of;80916;and;69128;to;55367;a;47841;in;31305;I;30995;that;29206;was;23871;it;71265;2726626;novels;
178166;the;101556;of;85325;and;70558;to;58177;a;50837;in;32213;that;31477;i;29492;was;29160;it;59014;2726626;novels;lowercase
143434;the;87217;of;70236;and;60840;to;48489;a;42154;in;29427;I;26954;that;26299;was;20983;it;66651;2397307;novels;asciifolding
156155;the;88604;of;73922;and;62098;to;51146;a;44775;in;29534;i;28052;that;26565;was;25460;it;55371;2397307;novels;lowercase-asciifolding
30026;I;21965;his;18397;he;16636;had;12613;you;12365;The;12152;which;11911;have;10748;her;10588;from;68345;1720576;novels;stop
30118;i;23226;his;23013;he;16846;had;14854;you;12344;which;12113;have;11268;her;10969;from;10943;my;56797;1665261;novels;lowercase-stop
28948;I;18131;his;15520;he;14918;had;11813;you;11207;have;10870;which;10727;The;9983;her;9685;my;63447;1558096;novels;asciifolding-stop
30162;i;23226;his;23013;he;16846;had;14854;you;12344;which;12113;have;11268;her;10969;from;10943;my;56720;1664896;novels;lowercase-asciifolding-stop
128488;the;76291;of;63769;and;55381;to;43682;a;37019;in;28699;I;24261;that;24135;wa;23213;it;42933;2168350;novels;porter_stem
133285;the;72539;of;64032;and;53788;to;43862;a;36597;in;28292;i;26416;it;24230;that;23532;wa;30187;2057602;novels;lowercase-porter_stem
122796;the;71359;of;60575;and;52731;to;42022;a;34547;in;28266;I;23270;wa;23237;that;22332;it;38545;2057602;novels;asciifolding-porter_stem
133285;the;72539;of;64032;and;53788;to;44133;a;36597;in;28333;i;26416;it;24230;that;23532;wa;30141;2057602;novels;lowercase-asciifolding-porter_stem
28239;I;16393;hi;14345;had;14344;he;11607;have;11335;you;9919;which;9712;her;9540;Mr;9489;The;38544;1416567;novels;stop-porter_stem
28292;i;17985;he;17210;hi;14531;had;13352;you;11942;have;10308;my;10183;her;10101;which;9646;mr;30172;1371383;novels;lowercase-stop-porter_stem
28266;I;16393;hi;14345;had;14344;he;11607;have;11335;you;9919;which;9712;her;9540;Mr;9489;The;38529;1416374;novels;asciifolding-stop-porter_stem
28333;i;17985;he;17210;hi;14531;had;13352;you;11942;have;10308;my;10183;her;10101;which;9646;mr;30126;1371112;novels;lowercase-asciifolding-stop-porter_stem
122798;the;71356;of;60575;and;52729;to;41829;a;34541;in;28239;I;23268;was;23237;that;18438;it;42612;2057602;novels;kstem
139599;the;77531;of;67315;and;56489;to;45837;a;39220;in;28780;i;25282;that;24397;was;23224;it;37165;2168350;novels;lowercase-kstem
