n_words,min_freq,max_freq,voc_size,clusters,iterations,converged,total_time,iter_time
100,0.0,0.01,100,3,10,0,29.6256,2.96256
250,0.0,0.01,250,3,10,0,40.8339,4.08339
100,0.0,0.02,100,2,3,1,9.46188,3.15396
250,0.0,0.02,250,2,3,1,13.5974,4.53246
100,0.0,0.03,100,3,10,0,34.1771,3.41771
250,0.0,0.03,250,2,9,1,52.6249,5.84722
100,0.0,0.04,100,2,3,1,10.8328,3.61094
250,0.0,0.04,250,1,3,1,18.0203,6.00677
100,0.0,0.05,100,1,3,1,11.5246,3.84154
250,0.0,0.05,250,1,3,1,21.7333,7.24443
100,0.0,0.06,100,3,10,0,41.341,4.1341
250,0.0,0.06,250,1,3,1,25.4543,8.48477
100,0.0,0.07,100,1,3,1,14.3883,4.7961
250,0.0,0.07,250,1,3,1,26.8374,8.94579
100,0.0,0.08,100,1,3,1,15.1602,5.0534
250,0.0,0.08,250,2,3,1,27.5239,9.17464
100,0.0,0.09,100,1,3,1,15.571,5.19035
250,0.0,0.09,250,2,4,1,33.1064,8.27661
100,0.0,0.1,100,1,4,1,18.8899,4.72246
250,0.0,0.1,250,1,4,1,29.0445,7.26113
100,0.0,0.2,100,1,2,1,10.5979,5.29895
250,0.0,0.2,250,1,2,1,17.8904,8.94518
100,0.0,0.3,100,1,2,1,11.5028,5.75141
250,0.0,0.3,250,1,2,1,18.9007,9.45034
100,0.0,0.4,100,1,2,1,11.7779,5.88894
250,0.0,0.4,250,1,2,1,19.3521,9.67607
100,0.0,0.5,100,1,2,1,11.5671,5.78354
250,0.0,0.5,250,1,2,1,19.0712,9.53562
100,0.0,0.6,100,1,2,1,11.753,5.8765
250,0.0,0.6,250,1,2,1,19.3701,9.68505
100,0.0,0.7,100,1,2,1,11.7056,5.85282
250,0.0,0.7,250,1,2,1,19.4276,9.7138
100,0.025,0.03,100,2,3,1,10.4712,3.4904
250,0.025,0.03,124,1,3,1,10.7278,3.57594
100,0.025,0.04,100,1,3,1,10.9702,3.65674
