min_freq,max_freq,n_words,actual_words,clusters_init,iteration,it_converged,it_clusters,it_time
0.0,0.1,100,100,20,1,0,20,3.3877713680267334
0.0,0.1,100,100,20,2,0,20,7.216716766357422
0.0,0.1,100,100,20,3,0,9,8.156550884246826
0.0,0.1,100,100,20,4,0,4,4.819085597991943
0.0,0.1,100,100,20,5,0,2,3.511174201965332
0.0,0.1,100,100,20,6,0,1,3.1844236850738525
0.0,0.1,100,100,20,7,1,1,
0.0,0.2,100,100,20,1,0,20,4.772934436798096
0.0,0.2,100,100,20,2,0,1,9.099499464035034
0.0,0.2,100,100,20,3,1,1,8.156550884246826
0.0,0.3,100,100,20,1,0,20,5.39281439781189
0.0,0.3,100,100,20,2,0,1,9.204472064971924
0.0,0.3,100,100,20,3,1,1,8.156550884246826
0.0,1.0,100,100,20,1,0,20,6.325654745101929
0.0,1.0,100,100,20,2,0,1,9.411008358001709
0.0,1.0,100,100,20,3,1,1,8.156550884246826
0.01,0.1,100,100,20,1,0,14,3.4347989559173584
0.01,0.1,100,100,20,2,0,14,5.079793214797974
0.01,0.1,100,100,20,3,0,5,6.416994094848633
0.01,0.1,100,100,20,4,0,3,3.846068859100342
0.01,0.1,100,100,20,5,0,3,3.1568949222564697
0.01,0.1,100,100,20,6,0,3,3.5468931198120117
0.01,0.1,100,100,20,7,0,3,3.159189224243164
0.01,0.1,100,100,20,8,0,3,3.149906873703003
0.01,0.1,100,100,20,9,0,3,3.207429885864258
0.01,0.1,100,100,20,10,0,3,3.230952501296997
0.01,0.1,100,100,20,11,0,3,3.23132061958313
0.01,0.1,100,100,20,12,0,3,3.2203855514526367
0.01,0.1,100,100,20,13,0,3,3.152574062347412
0.01,0.1,100,100,20,14,0,3,3.4618945121765137
0.01,0.1,100,100,20,15,0,3,3.305117130279541
0.01,0.1,100,100,20,16,0,3,3.258680582046509
0.01,0.1,100,100,20,17,0,3,3.29422926902771
0.01,0.1,100,100,20,18,0,3,3.191028118133545
0.01,0.1,100,100,20,19,0,3,3.2288730144500732
0.01,0.1,100,100,20,20,0,3,3.278506278991699
0.01,0.02,100,100,20,1,0,4,2.506364107131958
0.01,0.02,100,100,20,2,0,4,2.8284523487091064
0.01,0.02,100,100,20,3,0,3,2.9583826065063477
0.01,0.02,100,100,20,4,0,3,2.724658966064453
0.01,0.02,100,100,20,5,0,3,2.7197458744049072
0.01,0.02,100,100,20,6,0,3,2.9876554012298584
0.01,0.02,100,100,20,7,0,3,2.7489850521087646
0.01,0.02,100,100,20,8,0,3,2.932084321975708
0.01,0.02,100,100,20,9,0,3,2.727679491043091
0.01,0.02,100,100,20,10,0,3,2.7928764820098877
0.01,0.02,100,100,20,11,0,3,2.71415114402771
0.01,0.02,100,100,20,12,0,3,2.7695834636688232
0.01,0.02,100,100,20,13,0,3,2.703453779220581
0.01,0.02,100,100,20,14,0,3,2.755450487136841
0.01,0.02,100,100,20,15,0,3,2.73366379737854
0.01,0.02,100,100,20,16,0,3,2.6908459663391113
0.01,0.02,100,100,20,17,0,3,2.7447686195373535
0.01,0.02,100,100,20,18,0,3,3.0595386028289795
0.01,0.02,100,100,20,19,0,3,2.7402639389038086
0.01,0.02,100,100,20,20,0,3,2.722280979156494
0.1,0.2,100,100,20,1,0,20,4.742147922515869
0.1,0.2,100,100,20,2,0,1,8.73472285270691
0.1,0.2,100,100,20,3,1,1,2.9583826065063477
0.01,0.03,100,100,20,1,0,4,2.646275281906128
0.01,0.03,100,100,20,2,0,4,3.0737082958221436
0.01,0.03,100,100,20,3,0,3,3.1796929836273193
0.01,0.03,100,100,20,4,0,3,2.6680545806884766
0.01,0.03,100,100,20,5,0,2,2.9925901889801025
0.01,0.03,100,100,20,6,1,2,2.9876554012298584
0.1,0.3,100,100,20,1,0,20,6.424778938293457
0.1,0.3,100,100,20,2,0,1,9.058521032333374
0.1,0.3,100,100,20,3,1,1,3.1796929836273193
0.01,0.04,100,100,20,1,0,4,2.763471841812134
0.01,0.04,100,100,20,2,0,4,3.043059825897217
0.01,0.04,100,100,20,3,0,1,3.466230869293213
0.01,0.04,100,100,20,4,1,1,2.6680545806884766
0.01,0.05,100,100,20,1,0,5,2.907587766647339
0.01,0.05,100,100,20,2,0,5,3.502744436264038
0.01,0.05,100,100,20,3,0,1,3.6212246417999268
0.01,0.05,100,100,20,4,1,1,2.6680545806884766
0.01,0.06,100,100,20,1,0,9,3.02909779548645
